"","oid","ent","sectionId"
"1",1,1,321
"2",1,2,349
"3",1,3,397
"4",1,4,398
"5",1,5,447
"6",2,1,392
"7",2,2,421
"8",2,3,326
"9",2,4,327
"10",2,5,311
"11",2,6,299
"12",3,1,441
"13",3,2,370
"14",3,3,311
"15",3,4,301
"16",4,1,392
"17",4,2,421
"18",4,3,326
"19",4,4,327
"20",4,5,311
"21",4,6,299
"22",5,1,372
"23",5,2,371
"24",5,3,413
"25",5,4,405
"26",5,5,393
"27",6,1,430
"28",6,2,393
"29",7,1,245
"30",7,2,247
"31",7,3,276
"32",8,1,430
"33",8,2,393
"34",9,1,443
"35",9,2,370
"36",9,3,311
"37",9,4,301
"38",10,1,441
"39",10,2,370
"40",10,3,311
"41",10,4,299
"42",11,1,252
"43",11,2,249
"44",11,3,349
"45",11,4,393
"46",12,1,392
"47",12,2,421
"48",12,3,326
"49",12,4,327
"50",12,5,376
"51",13,1,392
"52",13,2,421
"53",13,3,326
"54",13,4,327
"55",13,5,311
"56",13,6,299
"57",14,1,392
"58",14,2,421
"59",14,3,251
"60",14,4,246
"61",15,1,392
"62",15,2,421
"63",15,3,326
"64",15,4,327
"65",15,5,311
"66",15,6,299
"67",16,1,302
"68",16,2,300
"69",16,3,342
"70",16,4,329
"71",16,5,400
"72",17,1,273
"73",17,2,296
"74",17,3,300
"75",17,4,376
"76",18,1,409
"77",18,2,405
"78",18,3,393
"79",19,1,302
"80",19,2,277
"81",19,3,276
"82",20,1,302
"83",20,2,277
"84",20,3,248
"85",20,4,253
"86",21,1,392
"87",21,2,421
"88",21,3,326
"89",21,4,327
"90",21,5,376
"91",22,1,273
"92",22,2,296
"93",22,3,301
"94",23,1,245
"95",23,2,253
"96",24,1,409
"97",24,2,402
"98",24,3,327
"99",24,4,311
"100",24,5,299
"101",25,1,392
"102",25,2,397
"103",25,3,400
"104",26,1,321
"105",26,2,349
"106",26,3,397
"107",26,4,398
"108",26,5,447
"109",27,1,441
"110",27,2,447
"111",28,1,245
"112",28,2,247
"113",28,3,296
"114",28,4,299
"115",29,1,430
"116",29,2,421
"117",29,3,322
"118",30,1,372
"119",30,2,342
"120",30,3,286
"121",30,4,248
"122",30,5,253
"123",31,1,302
"124",31,2,277
"125",31,3,276
"126",32,1,252
"127",32,2,249
"128",32,3,322
"129",33,1,245
"130",33,2,247
"131",33,3,296
"132",33,4,301
"133",34,1,302
"134",34,2,277
"135",34,3,276
"136",35,1,392
"137",35,2,397
"138",35,3,398
"139",35,4,447
"140",36,1,441
"141",36,2,413
"142",36,3,402
"143",36,4,334
"144",36,5,251
"145",36,6,246
"146",37,1,392
"147",37,2,397
"148",37,3,398
"149",37,4,447
"150",38,1,321
"151",38,2,349
"152",38,3,397
"153",38,4,398
"154",38,5,447
"155",39,1,392
"156",39,2,421
"157",39,3,251
"158",39,4,246
"159",40,1,392
"160",40,2,397
"161",40,3,398
"162",40,4,447
"163",41,1,392
"164",41,2,421
"165",41,3,326
"166",41,4,327
"167",41,5,376
"168",42,1,273
"169",42,2,248
"170",42,3,249
"171",42,4,322
"172",43,1,273
"173",43,2,296
"174",43,3,300
"175",43,4,376
"176",44,1,392
"177",44,2,421
"178",44,3,326
"179",44,4,327
"180",44,5,311
"181",44,6,299
"182",45,1,321
"183",45,2,251
"184",45,3,247
"185",45,4,296
"186",45,5,299
"187",46,1,245
"188",46,2,249
"189",46,3,322
"190",47,1,273
"191",47,2,296
"192",47,3,300
"193",47,4,371
"194",47,5,447
"195",48,1,321
"196",48,2,251
"197",48,3,246
"198",49,1,409
"199",49,2,398
"200",49,3,447
"201",50,1,392
"202",50,2,397
"203",50,3,398
"204",50,4,447
"205",51,1,321
"206",51,2,326
"207",51,3,327
"208",51,4,376
"209",52,1,273
"210",52,2,275
"211",52,3,329
"212",52,4,400
"213",53,1,392
"214",53,2,421
"215",53,3,326
"216",53,4,327
"217",53,5,311
"218",53,6,299
"219",54,1,372
"220",54,2,371
"221",54,3,442
"222",55,1,302
"223",55,2,277
"224",55,3,276
"225",56,1,321
"226",56,2,251
"227",56,3,247
"228",56,4,276
"229",57,1,298
"230",57,2,300
"231",57,3,342
"232",57,4,329
"233",57,5,405
"234",57,6,420
"235",58,1,321
"236",58,2,251
"237",58,3,247
"238",58,4,296
"239",58,5,299
"240",59,1,392
"241",59,2,421
"242",59,3,326
"243",59,4,327
"244",59,5,311
"245",59,6,299
"246",60,1,302
"247",60,2,300
"248",60,3,342
"249",60,4,329
"250",60,5,405
"251",60,6,420
"252",61,1,443
"253",61,2,413
"254",61,3,402
"255",61,4,334
"256",61,5,322
"257",62,1,321
"258",62,2,349
"259",62,3,397
"260",62,4,398
"261",62,5,447
"262",63,1,392
"263",63,2,421
"264",63,3,326
"265",63,4,327
"266",63,5,311
"267",63,6,299
"268",64,1,245
"269",64,2,247
"270",64,3,296
"271",64,4,300
"272",64,5,376
"273",65,1,443
"274",65,2,370
"275",65,3,311
"276",65,4,277
"277",65,5,276
"278",66,1,245
"279",66,2,247
"280",66,3,296
"281",66,4,300
"282",66,5,376
"283",67,1,392
"284",67,2,421
"285",67,3,326
"286",67,4,327
"287",67,5,311
"288",67,6,299
"289",68,1,245
"290",68,2,247
"291",68,3,296
"292",68,4,300
"293",68,5,376
"294",69,1,430
"295",69,2,397
"296",69,3,402
"297",69,4,327
"298",69,5,311
