"","oid","ent","sectionId"
"1",1,1,245
"2",1,2,249
"3",1,3,326
"4",1,4,327
"5",1,5,371
"6",1,6,447
"7",2,1,392
"8",2,2,421
"9",2,3,326
"10",2,4,327
"11",2,5,311
"12",2,6,299
"13",3,1,245
"14",3,2,247
"15",3,3,296
"16",3,4,300
"17",3,5,376
"18",4,1,392
"19",4,2,397
"20",4,3,398
"21",4,4,447
"22",5,1,252
"23",5,2,249
"24",5,3,349
"25",5,4,397
"26",5,5,400
"27",6,1,392
"28",6,2,421
"29",6,3,326
"30",6,4,327
"31",6,5,311
"32",6,6,299
"33",7,1,392
"34",7,2,420
"35",8,1,245
"36",8,2,247
"37",8,3,296
"38",8,4,299
"39",9,1,321
"40",9,2,251
"41",9,3,247
"42",9,4,296
"43",9,5,299
"44",10,1,392
"45",10,2,421
"46",10,3,326
"47",10,4,286
"48",10,5,296
"49",10,6,301
"50",11,1,372
"51",11,2,311
"52",11,3,277
"53",11,4,276
"54",12,1,430
"55",12,2,397
"56",12,3,398
"57",12,4,370
"58",12,5,376
"59",13,1,409
"60",13,2,402
"61",13,3,327
"62",13,4,311
"63",13,5,299
"64",14,1,409
"65",14,2,405
"66",14,3,421
"67",14,4,251
"68",14,5,246
"69",15,1,298
"70",15,2,299
"71",16,1,321
"72",16,2,251
"73",16,3,247
"74",16,4,296
"75",16,5,299
"76",17,1,252
"77",17,2,247
"78",17,3,276
"79",18,1,245
"80",18,2,249
"81",18,3,326
"82",18,4,327
"83",18,5,371
"84",18,6,447
"85",19,1,321
"86",19,2,326
"87",19,3,327
"88",19,4,376
"89",20,1,252
"90",20,2,247
"91",20,3,275
"92",20,4,329
"93",20,5,398
"94",20,6,442
"95",21,1,392
"96",21,2,421
"97",21,3,326
"98",21,4,327
"99",21,5,376
"100",22,1,372
"101",22,2,311
"102",22,3,301
"103",23,1,372
"104",23,2,371
"105",23,3,447
"106",24,1,441
"107",24,2,413
"108",24,3,400
"109",25,1,392
"110",25,2,421
"111",25,3,326
"112",25,4,327
"113",25,5,376
"114",26,1,245
"115",26,2,247
"116",26,3,296
"117",26,4,299
"118",27,1,443
"119",27,2,413
"120",27,3,402
"121",27,4,334
"122",27,5,322
"123",28,1,321
"124",28,2,251
"125",28,3,247
"126",28,4,296
"127",28,5,299
"128",29,1,392
"129",29,2,421
"130",29,3,326
"131",29,4,327
"132",29,5,311
"133",29,6,299
"134",30,1,443
"135",30,2,370
"136",30,3,311
"137",30,4,277
"138",30,5,276
"139",31,1,392
"140",31,2,421
"141",31,3,326
"142",31,4,327
"143",31,5,376
"144",32,1,392
"145",32,2,397
"146",32,3,398
"147",32,4,447
"148",33,1,321
"149",33,2,349
"150",33,3,397
"151",33,4,398
"152",33,5,447
"153",34,1,430
"154",34,2,397
"155",34,3,400
"156",35,1,321
"157",35,2,326
"158",35,3,327
"159",35,4,376
"160",36,1,409
"161",36,2,402
"162",36,3,286
"163",36,4,276
"164",37,1,443
"165",37,2,413
"166",37,3,405
"167",37,4,420
"168",38,1,245
"169",38,2,249
"170",38,3,349
"171",38,4,393
"172",39,1,245
"173",39,2,249
"174",39,3,326
"175",39,4,327
"176",39,5,371
"177",39,6,447
"178",40,1,245
"179",40,2,247
"180",40,3,296
"181",40,4,300
"182",40,5,376
"183",41,1,298
"184",41,2,277
"185",41,3,275
"186",41,4,334
"187",41,5,349
"188",41,6,393
"189",42,1,302
"190",42,2,300
"191",42,3,376
"192",43,1,321
"193",43,2,326
"194",43,3,327
"195",43,4,376
"196",44,1,321
"197",44,2,326
"198",44,3,327
"199",44,4,376
"200",45,1,372
"201",45,2,371
"202",45,3,442
"203",46,1,245
"204",46,2,247
"205",46,3,296
"206",46,4,300
"207",46,5,376
"208",47,1,245
"209",47,2,249
"210",47,3,326
"211",47,4,327
"212",47,5,371
"213",47,6,447
"214",48,1,392
"215",48,2,421
"216",48,3,326
"217",48,4,327
"218",48,5,376
"219",49,1,430
"220",49,2,421
"221",49,3,251
"222",49,4,253
"223",50,1,273
"224",50,2,248
"225",50,3,253
"226",51,1,245
