"","oid","ent","sectionId"
"1",1,1,273
"2",1,2,248
"3",1,3,246
"4",2,1,302
"5",2,2,300
"6",2,3,342
"7",2,4,334
"8",2,5,322
"9",3,1,321
"10",3,2,326
"11",3,3,327
"12",3,4,376
"13",4,1,245
"14",4,2,247
"15",4,3,296
"16",4,4,299
"17",5,1,372
"18",5,2,342
"19",5,3,286
"20",5,4,248
"21",5,5,246
"22",6,1,443
"23",6,2,413
"24",6,3,405
"25",6,4,393
"26",7,1,273
"27",7,2,296
"28",7,3,301
"29",8,1,302
"30",8,2,300
"31",8,3,342
"32",8,4,329
"33",8,5,405
"34",8,6,420
"35",9,1,321
"36",9,2,326
"37",9,3,327
"38",9,4,376
"39",10,1,252
"40",10,2,247
"41",10,3,276
"42",11,1,302
"43",11,2,300
"44",11,3,342
"45",11,4,334
"46",11,5,349
"47",11,6,393
"48",12,1,392
"49",12,2,397
"50",12,3,398
"51",12,4,447
"52",13,1,298
"53",13,2,277
"54",13,3,248
"55",13,4,249
"56",13,5,322
"57",14,1,321
"58",14,2,326
"59",14,3,327
"60",14,4,376
"61",15,1,245
"62",15,2,247
"63",15,3,296
"64",15,4,299
"65",16,1,321
"66",16,2,349
"67",16,3,397
"68",16,4,398
"69",16,5,447
"70",17,1,372
"71",17,2,371
"72",17,3,413
"73",17,4,405
"74",17,5,393
"75",18,1,441
"76",18,2,413
"77",18,3,402
"78",18,4,286
"79",18,5,276
"80",19,1,392
"81",19,2,421
"82",19,3,251
"83",19,4,246
"84",20,1,372
"85",20,2,342
"86",20,3,286
"87",20,4,248
"88",20,5,246
"89",21,1,302
"90",21,2,277
"91",21,3,248
"92",21,4,246
"93",22,1,441
"94",22,2,447
"95",23,1,372
"96",23,2,371
"97",23,3,413
"98",23,4,405
"99",23,5,420
"100",24,1,321
"101",24,2,251
"102",24,3,247
"103",24,4,296
"104",24,5,299
"105",25,1,372
"106",25,2,342
"107",25,3,334
"108",25,4,322
"109",26,1,441
"110",26,2,370
"111",26,3,376
"112",27,1,252
"113",27,2,247
"114",27,3,275
"115",27,4,329
"116",27,5,398
"117",27,6,442
"118",28,1,245
"119",28,2,247
"120",28,3,296
"121",28,4,300
"122",28,5,376
"123",29,1,409
"124",29,2,405
"125",29,3,421
"126",29,4,251
"127",29,5,246
"128",30,1,302
"129",30,2,300
"130",30,3,376
"131",31,1,298
"132",31,2,277
"133",31,3,275
"134",31,4,334
