"","oid","ent","sectionId"
"1",1,1,302
"2",1,2,300
"3",1,3,376
"4",2,1,302
"5",2,2,300
"6",2,3,342
"7",2,4,334
"8",2,5,322
"9",3,1,273
"10",3,2,296
"11",3,3,300
"12",3,4,371
"13",3,5,447
"14",4,1,302
"15",4,2,300
"16",4,3,342
"17",4,4,334
"18",4,5,349
"19",4,6,393
"20",5,1,441
"21",5,2,413
"22",5,3,402
"23",5,4,286
"24",5,5,276
"25",6,1,245
"26",6,2,249
"27",6,3,326
"28",6,4,327
"29",6,5,371
"30",6,6,447
"31",7,1,302
"32",7,2,300
"33",7,3,342
"34",7,4,334
"35",7,5,322
"36",8,1,245
"37",8,2,249
"38",8,3,326
"39",8,4,327
"40",8,5,371
"41",8,6,447
"42",9,1,392
"43",9,2,397
"44",9,3,398
"45",9,4,447
"46",10,1,302
"47",10,2,300
"48",10,3,342
"49",10,4,334
"50",10,5,322
"51",11,1,443
"52",11,2,442
"53",12,1,302
"54",12,2,300
"55",12,3,342
"56",12,4,334
"57",12,5,322
"58",13,1,245
"59",13,2,247
"60",13,3,296
"61",13,4,299
"62",14,1,443
"63",14,2,370
"64",14,3,342
"65",14,4,286
"66",14,5,248
"67",14,6,253
"68",15,1,443
"69",15,2,370
"70",15,3,376
"71",16,1,245
"72",16,2,249
"73",16,3,326
"74",16,4,327
"75",16,5,371
"76",16,6,447
"77",17,1,372
"78",17,2,342
"79",17,3,286
"80",17,4,248
"81",17,5,253
"82",18,1,245
"83",18,2,249
"84",18,3,322
"85",19,1,392
"86",19,2,421
"87",19,3,251
"88",19,4,246
"89",20,1,321
"90",20,2,251
"91",20,3,253
"92",21,1,302
"93",21,2,300
"94",21,3,376
"95",22,1,245
"96",22,2,247
"97",22,3,296
"98",22,4,299
"99",23,1,392
"100",23,2,421
"101",23,3,326
"102",23,4,327
"103",23,5,311
"104",23,6,299
"105",24,1,302
"106",24,2,277
"107",24,3,248
"108",24,4,246
"109",25,1,298
"110",25,2,277
"111",25,3,275
"112",25,4,334
"113",25,5,349
"114",25,6,393
"115",26,1,298
"116",26,2,277
"117",26,3,248
"118",26,4,246
"119",27,1,298
"120",27,2,277
