"","oid","ent","sectionId"
"1",1,1,302
"2",1,2,300
"3",1,3,342
"4",1,4,334
"5",1,5,322
"6",2,1,245
"7",2,2,249
"8",2,3,322
"9",3,1,321
"10",3,2,251
"11",3,3,247
"12",3,4,296
"13",3,5,299
"14",4,1,245
"15",4,2,249
"16",4,3,326
"17",4,4,327
"18",4,5,371
"19",4,6,447
"20",5,1,321
"21",5,2,349
"22",5,3,397
"23",5,4,398
"24",5,5,447
"25",6,1,392
"26",6,2,397
"27",6,3,398
"28",6,4,447
"29",7,1,321
"30",7,2,326
"31",7,3,327
"32",7,4,376
"33",8,1,321
"34",8,2,349
"35",8,3,397
"36",8,4,398
"37",8,5,447
"38",9,1,372
"39",9,2,342
"40",9,3,334
"41",9,4,322
"42",10,1,298
"43",10,2,277
"44",10,3,275
"45",10,4,334
"46",10,5,349
"47",10,6,393
"48",11,1,302
"49",11,2,277
"50",11,3,248
"51",11,4,246
"52",12,1,392
"53",12,2,421
"54",12,3,326
"55",12,4,327
"56",12,5,311
"57",12,6,299
"58",13,1,441
"59",13,2,413
"60",13,3,402
"61",13,4,286
"62",13,5,276
"63",14,1,252
"64",14,2,249
"65",14,3,322
"66",15,1,252
"67",15,2,249
"68",15,3,349
"69",15,4,393
"70",16,1,298
"71",16,2,277
"72",16,3,275
"73",16,4,334
"74",16,5,349
"75",16,6,393
"76",17,1,409
"77",17,2,405
"78",17,3,420
"79",18,1,372
"80",18,2,371
"81",18,3,447
"82",19,1,321
"83",19,2,349
"84",19,3,397
"85",19,4,398
"86",19,5,447
"87",20,1,372
"88",20,2,342
"89",20,3,286
"90",20,4,248
"91",20,5,246
"92",21,1,443
"93",21,2,413
"94",21,3,405
"95",21,4,420
"96",22,1,245
"97",22,2,249
"98",22,3,326
"99",22,4,327
"100",22,5,371
"101",22,6,447
"102",23,1,302
"103",23,2,277
"104",23,3,248
"105",23,4,246
"106",24,1,321
"107",24,2,349
"108",24,3,397
"109",24,4,400
"110",25,1,245
"111",25,2,249
"112",25,3,326
"113",25,4,327
"114",25,5,371
"115",25,6,447
"116",26,1,321
"117",26,2,251
"118",26,3,247
"119",26,4,296
"120",26,5,299
