"","oid","ent","sectionId"
"1",1,1,245
"2",1,2,247
"3",1,3,296
"4",1,4,299
"5",2,1,245
"6",2,2,247
"7",2,3,296
"8",2,4,299
"9",3,1,298
"10",3,2,277
"11",3,3,248
"12",3,4,246
"13",4,1,392
"14",4,2,421
"15",4,3,326
"16",4,4,327
"17",4,5,311
"18",4,6,299
"19",5,1,443
"20",5,2,370
"21",5,3,342
"22",5,4,286
"23",5,5,248
"24",5,6,253
"25",6,1,302
"26",6,2,300
"27",6,3,342
"28",6,4,334
"29",6,5,349
"30",6,6,393
"31",7,1,298
"32",7,2,277
"33",7,3,248
"34",7,4,249
"35",7,5,322
"36",8,1,321
"37",8,2,326
"38",8,3,327
"39",8,4,376
"40",9,1,302
"41",9,2,300
"42",9,3,342
"43",9,4,334
"44",9,5,322
"45",10,1,245
"46",10,2,247
"47",10,3,296
"48",10,4,301
"49",11,1,321
"50",11,2,349
"51",11,3,397
"52",11,4,398
"53",11,5,447
"54",12,1,321
"55",12,2,326
"56",12,3,327
"57",12,4,376
"58",13,1,392
"59",13,2,421
"60",13,3,326
"61",13,4,327
"62",13,5,311
"63",13,6,299
"64",14,1,298
"65",14,2,277
"66",14,3,248
"67",14,4,249
"68",14,5,322
"69",15,1,430
"70",15,2,397
"71",15,3,398
"72",15,4,370
"73",15,5,376
"74",16,1,441
"75",16,2,413
"76",16,3,402
"77",16,4,334
"78",16,5,251
"79",16,6,246
"80",17,1,321
"81",17,2,251
"82",17,3,247
"83",17,4,296
"84",17,5,299
"85",18,1,372
"86",18,2,371
"87",18,3,442
"88",19,1,372
"89",19,2,342
"90",19,3,334
"91",19,4,322
"92",20,1,409
"93",20,2,405
"94",20,3,421
"95",20,4,251
"96",20,5,246
"97",21,1,298
"98",21,2,277
"99",21,3,248
"100",21,4,246
"101",22,1,302
"102",22,2,277
"103",22,3,276
"104",23,1,252
"105",23,2,246
"106",24,1,245
"107",24,2,249
"108",24,3,326
"109",24,4,327
"110",24,5,371
"111",24,6,447
"112",25,1,245
"113",25,2,249
"114",25,3,326
"115",25,4,327
"116",25,5,371
"117",25,6,447
"118",26,1,245
"119",26,2,249
"120",26,3,326
"121",26,4,327
"122",26,5,371
"123",26,6,447
"124",27,1,372
"125",27,2,342
"126",27,3,334
"127",27,4,322
"128",28,1,302
"129",28,2,300
"130",28,3,342
"131",28,4,329
"132",28,5,405
"133",28,6,420
"134",29,1,321
"135",29,2,349
"136",29,3,397
"137",29,4,398
"138",29,5,447
"139",30,1,245
"140",30,2,247
"141",30,3,296
"142",30,4,300
"143",30,5,376
"144",31,1,321
"145",31,2,251
"146",31,3,247
"147",31,4,296
"148",31,5,299
"149",32,1,302
"150",32,2,300
"151",32,3,342
"152",32,4,329
"153",32,5,400
"154",33,1,321
"155",33,2,326
"156",33,3,327
"157",33,4,376
"158",34,1,245
"159",34,2,247
"160",34,3,296
"161",34,4,300
"162",34,5,376
"163",35,1,321
"164",35,2,349
"165",35,3,397
"166",35,4,400
"167",36,1,245
"168",36,2,247
"169",36,3,296
"170",36,4,301
"171",37,1,302
"172",37,2,277
"173",37,3,276
"174",38,1,441
"175",38,2,413
"176",38,3,402
"177",38,4,334
"178",38,5,251
"179",38,6,246
"180",39,1,372
"181",39,2,342
"182",39,3,334
"183",39,4,322
"184",40,1,302
"185",40,2,300
"186",40,3,342
"187",40,4,334
"188",40,5,322
"189",41,1,245
"190",41,2,247
"191",41,3,296
"192",41,4,299
"193",42,1,392
"194",42,2,421
"195",42,3,326
"196",42,4,327
"197",42,5,376
"198",43,1,302
"199",43,2,300
"200",43,3,342
"201",43,4,334
"202",43,5,349
"203",43,6,393
"204",44,1,298
"205",44,2,277
"206",44,3,248
"207",44,4,249
"208",44,5,322
