"","oid","ent","sectionId"
"1",1,1,252
"2",1,2,247
"3",1,3,275
"4",1,4,329
"5",1,5,398
"6",1,6,442
"7",2,1,252
"8",2,2,247
"9",2,3,275
"10",2,4,329
"11",2,5,398
"12",2,6,442
"13",3,1,252
"14",3,2,247
"15",3,3,275
"16",3,4,329
"17",3,5,398
"18",3,6,442
"19",4,1,252
"20",4,2,247
"21",4,3,275
"22",4,4,329
"23",4,5,398
"24",4,6,442
"25",5,1,252
"26",5,2,247
"27",5,3,275
"28",5,4,329
"29",5,5,398
"30",5,6,442
"31",6,1,252
"32",6,2,247
"33",6,3,275
"34",6,4,329
"35",6,5,398
"36",6,6,442
"37",7,1,252
"38",7,2,247
"39",7,3,275
"40",7,4,329
"41",7,5,398
"42",7,6,442
"43",8,1,252
"44",8,2,247
"45",8,3,275
"46",8,4,329
"47",8,5,398
"48",8,6,442
"49",9,1,252
"50",9,2,247
"51",9,3,275
"52",9,4,329
"53",9,5,398
"54",9,6,442
"55",10,1,252
"56",10,2,247
"57",10,3,275
"58",10,4,329
"59",10,5,398
"60",10,6,442
"61",11,1,252
"62",11,2,247
"63",11,3,275
"64",11,4,329
"65",11,5,398
"66",11,6,442
"67",12,1,252
"68",12,2,247
"69",12,3,275
"70",12,4,329
"71",12,5,398
"72",12,6,442
"73",13,1,252
"74",13,2,247
"75",13,3,275
"76",13,4,329
"77",13,5,398
"78",13,6,442
"79",14,1,252
"80",14,2,247
"81",14,3,275
"82",14,4,329
"83",14,5,398
"84",14,6,442
"85",15,1,252
"86",15,2,247
"87",15,3,275
"88",15,4,329
"89",15,5,398
"90",15,6,442
"91",16,1,252
"92",16,2,247
"93",16,3,275
"94",16,4,329
"95",16,5,398
"96",16,6,442
"97",17,1,252
"98",17,2,247
"99",17,3,275
"100",17,4,329
"101",17,5,398
"102",17,6,442
"103",18,1,252
"104",18,2,247
"105",18,3,275
"106",18,4,329
"107",18,5,398
"108",18,6,442
"109",19,1,252
"110",19,2,247
"111",19,3,275
"112",19,4,329
"113",19,5,398
"114",19,6,442
"115",20,1,252
"116",20,2,247
"117",20,3,275
"118",20,4,329
"119",20,5,398
"120",20,6,442
"121",21,1,252
"122",21,2,247
"123",21,3,275
"124",21,4,329
"125",21,5,398
"126",21,6,442
"127",22,1,252
"128",22,2,247
"129",22,3,275
"130",22,4,329
"131",22,5,398
"132",22,6,442
"133",23,1,252
"134",23,2,247
"135",23,3,275
"136",23,4,329
"137",23,5,398
"138",23,6,442
"139",24,1,252
"140",24,2,247
"141",24,3,275
"142",24,4,329
"143",24,5,398
"144",24,6,442
"145",25,1,252
"146",25,2,247
"147",25,3,275
"148",25,4,329
"149",25,5,398
"150",25,6,442
"151",26,1,252
"152",26,2,247
"153",26,3,275
"154",26,4,329
"155",26,5,398
"156",26,6,442
"157",27,1,252
"158",27,2,247
"159",27,3,275
"160",27,4,329
"161",27,5,398
"162",27,6,442
"163",28,1,252
"164",28,2,247
"165",28,3,275
"166",28,4,329
"167",28,5,398
"168",28,6,442
"169",29,1,252
"170",29,2,247
"171",29,3,275
"172",29,4,329
"173",29,5,398
"174",29,6,442
"175",30,1,252
"176",30,2,247
"177",30,3,275
"178",30,4,329
"179",30,5,398
"180",30,6,442
"181",31,1,252
"182",31,2,247
"183",31,3,275
"184",31,4,329
"185",31,5,398
"186",31,6,442
"187",32,1,252
"188",32,2,247
"189",32,3,275
"190",32,4,329
"191",32,5,398
"192",32,6,442
"193",33,1,252
"194",33,2,247
"195",33,3,275
"196",33,4,329
"197",33,5,398
"198",33,6,442
"199",34,1,252
"200",34,2,247
"201",34,3,275
"202",34,4,329
"203",34,5,398
"204",34,6,442
"205",35,1,252
"206",35,2,247
"207",35,3,275
"208",35,4,329
"209",35,5,398
"210",35,6,442
"211",36,1,252
"212",36,2,247
"213",36,3,275
"214",36,4,329
"215",36,5,398
"216",36,6,442
"217",37,1,252
"218",37,2,247
"219",37,3,275
"220",37,4,329
"221",37,5,398
"222",37,6,442
"223",38,1,252
"224",38,2,247
"225",38,3,275
"226",38,4,329
"227",38,5,398
"228",38,6,442
"229",39,1,252
"230",39,2,247
"231",39,3,275
"232",39,4,329
"233",39,5,398
"234",39,6,442
"235",40,1,252
"236",40,2,247
"237",40,3,275
"238",40,4,329
"239",40,5,398
"240",40,6,442
"241",41,1,252
"242",41,2,247
"243",41,3,275
"244",41,4,329
"245",41,5,398
"246",41,6,442
"247",42,1,252
"248",42,2,247
"249",42,3,275
"250",42,4,329
"251",42,5,398
"252",42,6,442
"253",43,1,252
"254",43,2,247
"255",43,3,275
"256",43,4,329
"257",43,5,398
"258",43,6,442
"259",44,1,252
"260",44,2,247
"261",44,3,275
"262",44,4,329
"263",44,5,398
"264",44,6,442
"265",45,1,252
"266",45,2,247
"267",45,3,275
"268",45,4,329
"269",45,5,398
"270",45,6,442
"271",46,1,252
"272",46,2,247
"273",46,3,275
"274",46,4,329
"275",46,5,398
"276",46,6,442
"277",47,1,252
"278",47,2,247
"279",47,3,275
"280",47,4,329
"281",47,5,398
"282",47,6,442
"283",48,1,252
"284",48,2,249
"285",48,3,326
"286",48,4,329
"287",48,5,398
"288",48,6,442
"289",49,1,252
"290",49,2,247
"291",49,3,275
"292",49,4,329
"293",49,5,398
"294",49,6,442
"295",50,1,252
"296",50,2,249
"297",50,3,326
"298",50,4,329
"299",50,5,398
"300",50,6,442
"301",51,1,252
"302",51,2,249
"303",51,3,326
"304",51,4,329
"305",51,5,398
"306",51,6,442
"307",52,1,252
"308",52,2,247
"309",52,3,275
"310",52,4,329
"311",52,5,398
"312",52,6,442
"313",53,1,252
"314",53,2,249
"315",53,3,326
"316",53,4,329
"317",53,5,398
"318",53,6,442
"319",54,1,252
"320",54,2,247
"321",54,3,275
"322",54,4,329
"323",54,5,398
"324",54,6,442
"325",55,1,252
"326",55,2,247
"327",55,3,275
"328",55,4,329
"329",55,5,398
"330",55,6,442
"331",56,1,252
"332",56,2,247
"333",56,3,275
"334",56,4,329
"335",56,5,398
"336",56,6,442
"337",57,1,252
"338",57,2,249
"339",57,3,326
"340",57,4,329
"341",57,5,398
"342",57,6,442
"343",58,1,252
"344",58,2,247
"345",58,3,275
"346",58,4,329
"347",58,5,398
"348",58,6,442
"349",59,1,252
"350",59,2,247
"351",59,3,275
"352",59,4,329
"353",59,5,398
"354",59,6,442
"355",60,1,252
"356",60,2,247
"357",60,3,275
"358",60,4,329
"359",60,5,398
"360",60,6,442
"361",61,1,252
"362",61,2,249
"363",61,3,326
"364",61,4,329
"365",61,5,398
"366",61,6,442
"367",62,1,252
"368",62,2,247
"369",62,3,275
"370",62,4,329
"371",62,5,398
"372",62,6,442
"373",63,1,252
"374",63,2,249
"375",63,3,326
"376",63,4,329
"377",63,5,398
"378",63,6,442
"379",64,1,252
"380",64,2,247
"381",64,3,275
"382",64,4,329
"383",64,5,398
"384",64,6,442
"385",65,1,252
"386",65,2,249
"387",65,3,326
"388",65,4,329
"389",65,5,398
"390",65,6,442
"391",66,1,252
"392",66,2,247
"393",66,3,275
"394",66,4,329
"395",66,5,398
"396",66,6,442
"397",67,1,252
"398",67,2,249
"399",67,3,326
"400",67,4,329
"401",67,5,398
"402",67,6,442
"403",68,1,252
"404",68,2,249
"405",68,3,326
"406",68,4,329
"407",68,5,398
"408",68,6,442
"409",69,1,252
"410",69,2,249
"411",69,3,326
"412",69,4,329
"413",69,5,398
"414",69,6,442
"415",70,1,252
"416",70,2,247
"417",70,3,275
"418",70,4,329
"419",70,5,398
"420",70,6,442
"421",71,1,252
"422",71,2,247
"423",71,3,275
"424",71,4,329
"425",71,5,398
"426",71,6,442
"427",72,1,252
"428",72,2,247
"429",72,3,275
"430",72,4,329
"431",72,5,398
"432",72,6,442
"433",73,1,252
"434",73,2,247
"435",73,3,275
"436",73,4,329
"437",73,5,398
"438",73,6,442
